,Article_Topic,Article_Prefix,Article_Number,Article_Title,Chunk_Number,Chunk
164,RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Authorisation of payment transactions,Article 56,56,Payment service provider’s liability for unauthorised payment,164,"Topic: RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Authorisation of payment transactions, Article: 56, Title: Payment service provider’s liability for unauthorised payment
transactions
1.	Without prejudice to Article 54, in the case of an unauthorised payment transaction, the payer’s payment service provider shall refund the payer the amount of the unauthorised payment transaction immediately, and in any event no later than by the end of the following business day, after noting or being notified of the unauthorised transaction, except where the payer’s payment service provider has reasonable grounds for suspecting fraud committed by the payer and communicates those grounds to the relevant national authority in writing.
2.	Where the payer’s payment service provider had reasonable grounds for suspecting fraud committed by the payer, the payer’s payment service provider shall, within 10 business days after noting or being notified of the transaction, do either of the following:"
165,RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Authorisation of payment transactions,Article 56,56,Payment service provider’s liability for unauthorised payment,165,"Topic: RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Authorisation of payment transactions, Article: 56, Title: Payment service provider’s liability for unauthorised payment
(a)	refund the payer the amount of the unauthorised payment transaction if the payer’s payment service provider has concluded, after further investigation, that no fraud has been committed by the payer;
(b)	provide a justification for refusing the refund and indicate the bodies to which the payer may refer the matter in accordance with Articles 90, 91, 93, 94 and 95 if the payer does not accept the reasons provided. 
3.	Where applicable, the payer’s payment service provider shall restore the debited payment account to the state in which it would have been had the unauthorised payment transaction not taken place. The payer’s payment service provider  shall also ensure that the credit value date for the payer’s payment account shall be no later than the date the amount had been debited."
166,RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Authorisation of payment transactions,Article 56,56,Payment service provider’s liability for unauthorised payment,166,"Topic: RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Authorisation of payment transactions, Article: 56, Title: Payment service provider’s liability for unauthorised payment
4.	Where the payment transaction is initiated through a payment initiation service provider, the account servicing payment service provider shall refund immediately, and in any event no later than by the end of the following business day, the amount of the unauthorised payment transaction and, where applicable, restore the debited payment account to the state in which it would have been had the unauthorised payment transaction not taken place."
167,RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Authorisation of payment transactions,Article 56,56,Payment service provider’s liability for unauthorised payment,167,"Topic: RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Authorisation of payment transactions, Article: 56, Title: Payment service provider’s liability for unauthorised payment
5.	If the payment initiation service provider is liable for the unauthorised payment transaction, the payment initiation service provider shall immediately compensate the account servicing payment service provider at its request for the losses incurred or sums paid as a result of the refund to the payer, including the amount of the unauthorised payment transaction. In accordance with Article 55(1), the burden shall be on the payment initiation service provider to prove that, within its sphere of competence, the payment transaction was authorised, accurately recorded and not affected by a technical breakdown or other deficiency linked to the payment service of which it is in charge."
168,RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Authorisation of payment transactions,Article 56,56,Payment service provider’s liability for unauthorised payment,168,"Topic: RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Authorisation of payment transactions, Article: 56, Title: Payment service provider’s liability for unauthorised payment
6.	The payer may be entitled to further financial compensation from the payment service provider in accordance with the law applicable to the contract concluded between the payer and the payment service provider or the contract concluded between the payer and the payment initiation service provider, where applicable."
169,RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Authorisation of payment transactions,Article 57,57,Payment service provider’s liability for incorrect application of the matching verification service,169,"Topic: RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Authorisation of payment transactions, Article: 57, Title: Payment service provider’s liability for incorrect application of the matching verification service
1.	The payer shall not bear any financial losses for any authorised credit transfer where the payment service provider of the payer failed, in breach of Article 50(1), to notify the payer of a detected discrepancy between the unique identifier and the name of the payee provided by the payer.
2.	Within 10 business days after noting or being notified of a credit transfer transaction executed in the circumstances referred to in paragraph 1, the payment service provider shall do either of the following:
(a)	refund the payer the full amount of the authorised credit transfer;
(b)	provide a justification for refusing the refund and indicate the bodies to which the payer may refer the matter in accordance with Articles 90, 91, 93, 94 and 95 if the payer does not accept the reasons provided."
170,RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Authorisation of payment transactions,Article 57,57,Payment service provider’s liability for incorrect application of the matching verification service,170,"Topic: RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Authorisation of payment transactions, Article: 57, Title: Payment service provider’s liability for incorrect application of the matching verification service
3.	Where the payment service provider of the payee is responsible for the breach of Article 50(1) committed by the payment service provider of the payer, the payment service provider of the payee shall refund the financial damage incurred by the payment service provider of the payer.
4.	The burden shall be on the payment service provider of the payer or, in the case referred to in paragraph 3, of the payee to prove that there was no breach of Article 50(1).
5.	Paragraphs 1 to 4 shall not apply if the payer has acted fraudulently or if the payer opted out from receiving the verification service in accordance with Article 50(4).
6.	This Article shall not apply to instant credit transfers denominated in euro falling within the scope of by Regulation XXX (IPR)."
171,RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Authorisation of payment transactions,Article 58,58,Liability of technical service providers and of operators of payment schemes for failure to support the application of strong customer authentication,171,"Topic: RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Authorisation of payment transactions, Article: 58, Title: Liability of technical service providers and of operators of payment schemes for failure to support the application of strong customer authentication
Technical service providers and operators of payment schemes that either provide services to the payee, or to the payment service provider of the payee or of the payer, shall be liable for any financial damage caused to the payee, to the payment service provider of the payee or of the payer for their failure, within the remit of their contractual relationship, to provide the services that are necessary to enable  the application of strong customer authentication."
172,RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Authorisation of payment transactions,Article 59,59,Payment service provider’s liability for impersonation fraud,172,"Topic: RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Authorisation of payment transactions, Article: 59, Title: Payment service provider’s liability for impersonation fraud
1.	Where a payment services user who is a consumer was manipulated by a third party pretending to be an employee of the consumer’s payment service provider using the name or e-mail address or telephone number of that payment service provider unlawfully and that manipulation gave rise to subsequent fraudulent authorised payment transactions, the payment service provider shall refund the consumer the full amount of the fraudulent authorised payment transaction under the condition that the consumer has, without any delay, reported the fraud to the police and notified its payment service provider.
2.	Within 10 business days after noting or being notified of the fraudulent authorised payment transaction, the payment service provider shall do either of the following:
(a)	refund the consumer the amount of the fraudulent authorised payment transaction;"
173,RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Authorisation of payment transactions,Article 59,59,Payment service provider’s liability for impersonation fraud,173,"Topic: RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Authorisation of payment transactions, Article: 59, Title: Payment service provider’s liability for impersonation fraud
(a)	refund the consumer the amount of the fraudulent authorised payment transaction;
(b)	where the payment service provider  has reasonable grounds to suspect a fraud or a gross negligence by the consumer, provide a justification for refusing the refund and indicate to the consumer the bodies to which the consumer may refer the matter in accordance with Articles 90, 91, 93, 94 and 95 if the consumer does not accept the reasons provided.
3.	Paragraph 1 shall not apply if the consumer has acted fraudulently or with gross negligence.
4.	The burden shall be on the payment service provider of the consumer to prove that the consumer acted fraudulently or with gross negligence."
174,RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Authorisation of payment transactions,Article 59,59,Payment service provider’s liability for impersonation fraud,174,"Topic: RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Authorisation of payment transactions, Article: 59, Title: Payment service provider’s liability for impersonation fraud
4.	The burden shall be on the payment service provider of the consumer to prove that the consumer acted fraudulently or with gross negligence.
5.	Where informed by a payment service provider of the occurrence of the type of fraud as referred to in paragraph 1, electronic communications services providers shall cooperate closely with payment service providers and act swiftly to ensure that appropriate organizational and technical measures are in place to safeguard the security and confidentiality of communications in accordance with Directive 2002/58/EC, including with regard to calling line identification and electronic mail address."
175,RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Authorisation of payment transactions,Article 60,60,Payer’s liability for unauthorised payment transactions,175,"Topic: RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Authorisation of payment transactions, Article: 60, Title: Payer’s liability for unauthorised payment transactions
1.	By way of derogation from Article 56, the payer may be obliged to bear the losses relating to any unauthorised payment transactions, up to a maximum of EUR 50, resulting from the use of a lost or stolen payment instrument or from the misappropriation of a payment instrument.
      The first subparagraph shall not apply where any of the following occurred:
(a)	the loss, theft or misappropriation of a payment instrument was not detectable to the payer prior to a payment, except where the payer has acted fraudulently; or
(b)	the loss was caused by acts or lack of action of an employee, agent or branch of a payment service provider or of an entity to which its activities were outsourced."
176,RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Authorisation of payment transactions,Article 60,60,Payer’s liability for unauthorised payment transactions,176,"Topic: RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Authorisation of payment transactions, Article: 60, Title: Payer’s liability for unauthorised payment transactions
(b)	the loss was caused by acts or lack of action of an employee, agent or branch of a payment service provider or of an entity to which its activities were outsourced.
The payer shall bear all of the losses relating to any unauthorised payment transactions if those losses were incurred by the payer acting fraudulently or failing to fulfil one or more of the obligations set out in Article 52 with intent or gross negligence. In such cases, the maximum amount referred to in the first subparagraph shall not apply.
Where the payer has neither acted fraudulently nor intentionally failed to fulfil its obligations under Article 52, national competent authorities or payment service providers may reduce the liability referred to in this paragraph, taking into account, in particular, the nature of the personalised security credentials and the specific circumstances under which the payment instrument was lost, stolen or misappropriated."
177,RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Authorisation of payment transactions,Article 60,60,Payer’s liability for unauthorised payment transactions,177,"Topic: RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Authorisation of payment transactions, Article: 60, Title: Payer’s liability for unauthorised payment transactions
2.	Where the payer’s payment service provider fails to fulfil the obligation to require strong customer authentication set out in Article 85, the payer shall not bear any financial losses unless the payer has acted fraudulently. The same shall apply where either the payment service provider of the payer or of the payee applies an exemption from the application of strong customer authentication. Where the payee or the payment service provider of the payee fails to develop or amend the systems, hardware and software that are necessary to apply strong customer authentication, the payee or the payment service provider of the payee shall refund the financial damage caused to the payer’s payment service provider. 
3.	Where the payee’s payment services provider applies an exemption from the application of strong customer authentication, the payee’s payment services provider shall be liable towards the payer’s payment services provider for any financial loss incurred by the latter."
178,RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Authorisation of payment transactions,Article 60,60,Payer’s liability for unauthorised payment transactions,178,"Topic: RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Authorisation of payment transactions, Article: 60, Title: Payer’s liability for unauthorised payment transactions
4.	The payer shall not bear any financial consequences resulting from use of the lost, stolen or misappropriated payment instrument after notification in accordance with of Article 52, point (b), except where the payer has acted fraudulently.
If the payment service provider does not provide appropriate means for the notification at all times of a lost, stolen or misappropriated payment instrument, as required under of Article 53(1), point (c), the payer shall not be liable for the financial consequences resulting from use of that payment instrument, except where the payer has acted fraudulently."
179,RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Authorisation of payment transactions,Article 61,61,Payment transactions where the transaction amount is not known in advance,179,"Topic: RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Authorisation of payment transactions, Article: 61, Title: Payment transactions where the transaction amount is not known in advance
1.	Where a payment transaction is initiated by or through the payee in the context of a card-based payment transaction and the exact future amount is not known at the moment when the payer authorizes the execution of the payment transaction, the payer’s payment service provider may only block funds on the payer’s payment account if the payer has given his or her permission to that precise amount of funds to be blocked.
2.	The amount of the funds blocked by the payer’s payment service provider shall be in proportion with the amount of the payment transaction which can reasonably be expected by the payer.  
3.	The payee shall inform its payment service provider of the exact amount of the payment transaction immediately after delivery of the service or goods to the payer.
4.	The payer’s payment service provider shall release the funds blocked on the payer’s payment account immediately after receipt of the information about the exact amount of the payment transaction."
180,RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Authorisation of payment transactions,Article 62,62,Refunds for payment transactions initiated by or through a payee,180,"Topic: RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Authorisation of payment transactions, Article: 62, Title: Refunds for payment transactions initiated by or through a payee
1.	 A payer shall be entitled to a refund from the payment service provider of an authorised payment transaction which was initiated by the payer through a payee and which has already been executed, where both of the following conditions are met:
(a)	the authorisation did not specify the exact amount of the payment transaction when the authorisation was made;
(b)	the amount of the payment transaction exceeded the amount the payer could reasonably have expected taking into account the previous spending pattern, the conditions in the framework contract and relevant circumstances of the case.
At the payment service provider’s request, the payer shall bear the burden of proving such conditions are met.
The refund shall consist of the full amount of the executed payment transaction. The credit value date for the payer’s payment account shall be no later than the date the amount was debited."
181,RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Authorisation of payment transactions,Article 62,62,Refunds for payment transactions initiated by or through a payee,181,"Topic: RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Authorisation of payment transactions, Article: 62, Title: Refunds for payment transactions initiated by or through a payee
The refund shall consist of the full amount of the executed payment transaction. The credit value date for the payer’s payment account shall be no later than the date the amount was debited.
Without prejudice to paragraph 3 of this Article, in addition to the right referred to in the first subparagraph of this paragraph, for authorised payment transactions which were initiated by a payee, including direct debits as referred to in Article 1 of Regulation (EU) No 260/2012, the payer shall have an unconditional right to a refund within the time limits laid down in Article 63 of this Regulation.
2.	For the purposes of paragraph 1, first subparagraph, point (b), the payer shall not invoke reasons related to possible currency exchange costs if the reference exchange rate agreed with its payment service provider in accordance with Article 13(1), point (e), and Article 20, point (c)(iii), was applied."
182,RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Authorisation of payment transactions,Article 62,62,Refunds for payment transactions initiated by or through a payee,182,"Topic: RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Authorisation of payment transactions, Article: 62, Title: Refunds for payment transactions initiated by or through a payee
3.	The payer and the payment service provider may agree in a framework contract that the payer has no right to a refund where:
(a)	the payer has authorised the execution of the payment transaction directly with  the payment service provider; 
(b)	where applicable, information on the future payment transaction was provided or made available in an agreed manner to the payer for at least 4 weeks before the due date by the payment service provider or by the payee.
4.	For direct debits in currencies other than euro, payment service providers may offer more favourable refund rights in accordance with their direct debit schemes provided that they are more advantageous to the payer."
183,RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Authorisation of payment transactions,Article 63,63,Requests for refunds for payment transactions initiated by or,183,"Topic: RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Authorisation of payment transactions, Article: 63, Title: Requests for refunds for payment transactions initiated by or
through a payee
1.	The payer may request the refund referred to in Article 62 of an authorised payment transaction initiated by or through a payee for a period of 8 weeks from the date on which the funds were debited.
2.	Within 10 business days of receiving a request for a refund, the payment service provider shall do either of the following:
(a)	refund the full amount of the payment transaction;
(b)	provide a justification for refusing the refund and indicate the bodies to which the payer may refer the matter in accordance with Articles 90, 91, 93, 94 and 95 if the payer does not accept the reasons provided.
The payment service provider’s right under the first subparagraph of this paragraph to refuse the refund shall not apply in the case set out in of Article 62(1), fourth subparagraph.
CHAPTER 5"
184,RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Execution of payment transactions,Article 64,64,Receipt of payment orders,184,"Topic: RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Execution of payment transactions, Article: 64, Title: Receipt of payment orders
1.	The time of receipt of a payment order shall be when the payment order is received by the payer’s payment service provider.
The payer’s account shall not be debited before receipt of the payment order. If the time of receipt is not on a business day for the payer’s payment service provider, the payment order shall be deemed to have been received on the following business day. The payment service provider may establish a cut-off time near the end of a business day beyond which any payment order received shall be deemed to have been received on the following business day."
185,RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Execution of payment transactions,Article 64,64,Receipt of payment orders,185,"Topic: RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Execution of payment transactions, Article: 64, Title: Receipt of payment orders
2.	If the payment service user placing a payment order and the payment service provider agree that the execution of the payment order shall start on a specific day or at the end of a certain period or on the day on which the payer has put the funds at the payment service provider’s disposal, the time of receipt for the purposes of Article 69 shall be deemed to be the agreed day. If the agreed day is not a business day for the payment service provider, the payment order received shall be deemed to have been received on the following business day.
3.	This Article shall not apply to instant credit transfers denominated in Euro as covered by Regulation XXX (IPR)."
186,RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Execution of payment transactions,Article 65,65,Refusal of payment orders,186,"Topic: RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Execution of payment transactions, Article: 65, Title: Refusal of payment orders
1.	Where the payment service provider refuses to execute a payment order or to initiate a payment transaction, the payment service provider shall notify the refusal and, if possible, the reasons for that refusal and the procedure for correcting any factual mistakes that led to the refusal to the payment service user, unless prohibited by other relevant Union or national law.
The payment service provider shall provide or make available the notification in an agreed manner at the earliest opportunity, and in any case within the periods specified in Article 69.
The framework contract may include a condition that the payment service provider may charge a reasonable fee for such a refusal if the refusal is objectively justified."
187,RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Execution of payment transactions,Article 65,65,Refusal of payment orders,187,"Topic: RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Execution of payment transactions, Article: 65, Title: Refusal of payment orders
The framework contract may include a condition that the payment service provider may charge a reasonable fee for such a refusal if the refusal is objectively justified.
2.	Where all of the conditions set out in the payer’s framework contract are met, the payer’s account servicing payment service provider shall not refuse to execute an authorised payment transaction irrespective of whether the payment order is placed by a payer, including through a payment initiation service provider, or by or through a payee, unless prohibited by other relevant Union or national law.
3.	For the purposes of Articles 69 and 75 a payment order whose execution has been refused shall be deemed not to have been received."
188,RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Execution of payment transactions,Article 66,66,Irrevocability of a payment order,188,"Topic: RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Execution of payment transactions, Article: 66, Title: Irrevocability of a payment order
1.	The payment service user shall not revoke a payment order once it has been received by the payer’s payment service provider, unless otherwise specified in this Article.
2.	Where the payment transaction is initiated by a payment initiation service provider or by or through the payee, the payer shall not revoke the payment order after giving permission to the payment initiation service provider to initiate the payment transaction or after giving permission to execute the payment transaction to the payee.
3.	In the case of a direct debit, and without prejudice to refund rights, the payer may revoke the payment order at the latest by the end of the business day preceding the day agreed for debiting the funds.
4.	In the case referred to in Article 64(2), the payment service user may revoke a payment order at the latest by the end of the business day preceding the agreed day."
189,RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Execution of payment transactions,Article 66,66,Irrevocability of a payment order,189,"Topic: RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Execution of payment transactions, Article: 66, Title: Irrevocability of a payment order
4.	In the case referred to in Article 64(2), the payment service user may revoke a payment order at the latest by the end of the business day preceding the agreed day.
5.	After the time limits laid down in paragraphs 1 to 4, the payment order may be revoked only if agreed between the payment service user and the relevant payment service providers. In the case referred to in paragraphs 2 and 3, the payee’s agreement shall also be required. If agreed in the framework contract, the relevant payment service provider may charge for revocation."
190,RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Execution of payment transactions,Article 67,67,Amounts transferred and amounts received,190,"Topic: RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Execution of payment transactions, Article: 67, Title: Amounts transferred and amounts received
1.	The payment service provider of the payer, the payment service provider(s) of the payee and any intermediaries of the payment service providers shall transfer the full amount of the payment transaction and shall refrain from deducting charges from the amount transferred.
2.	The payee and the payment service provider may agree that the relevant payment service provider deduct its charges from the amount transferred before crediting it to the payee. In such a case, the full amount of the payment transaction and charges shall be separated in the information given to the payee."
191,RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Execution of payment transactions,Article 67,67,Amounts transferred and amounts received,191,"Topic: RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Execution of payment transactions, Article: 67, Title: Amounts transferred and amounts received
3.	If any charges other than those referred to in paragraph 2 are deducted from the amount transferred, the payment service provider of the payer shall ensure that the payee receives the full amount of the payment transaction initiated by the payer. Where the payment transaction is initiated by or through the payee, the payment service provider of the payee shall ensure that the full amount of the payment transaction is received by the payee."
192,RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Execution of payment transactions,Article 67,67,Amounts transferred and amounts received,192,"Topic: RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Execution of payment transactions, Article: 67, Title: Amounts transferred and amounts received
SECTION 2
EXECUTION TIME AND VALUE DATE"
193,RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Execution of payment transactions,Article 68,68,Scope,193,"Topic: RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Execution of payment transactions, Article: 68, Title: Scope
1.	This Section applies to:
(a)	payment transactions in euro;
(b)	national payment transactions in the currency of the Member State outside the euro area;
(c)	payment transactions involving only one currency conversion between the euro and the currency of a Member State outside the euro area, provided that the required currency conversion is carried out in the Member State outside the euro area concerned and, in the case of cross-border payment transactions, the cross-border transfer takes place in euro."
194,RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Execution of payment transactions,Article 68,68,Scope,194,"Topic: RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Execution of payment transactions, Article: 68, Title: Scope
2.	This Section applies to payment transactions not referred to in paragraph 1, unless otherwise agreed between the payment service user and the payment service provider, with the exception of Article 73, which is not at the disposal of the parties. However, if the payment service user and the payment service provider agree on a longer period than that set in Article 69, for intra-Union payment transactions, that longer period shall not exceed 4 business days following the time of receipt as referred to in Article 64."
195,RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Execution of payment transactions,Article 69,69,Payment transactions to a payment account,195,"Topic: RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Execution of payment transactions, Article: 69, Title: Payment transactions to a payment account
1.	Without prejudice to Article 2(1), point (c) of Regulation (EU) No 260/2012, the payer’s payment service provider shall ensure that after the time of receipt as referred to in Article 64, the amount of the payment transaction will be credited to the payee’s payment service provider’s account by the end of the following business day. That time limit may be extended by a further business day for paper-initiated payment transactions.
2.	The payment service provider of the payee shall value date and make available the amount of the payment transaction to the payee’s payment account after the payment service provider has received the funds in accordance with Article 73.
3.	The payee’s payment service provider shall transmit a payment order placed by or through the payee to the payer’s payment service provider within the time limits agreed between the payee and the payment service provider, enabling settlement, as far as direct debit is concerned, on the agreed due date."
196,RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Execution of payment transactions,Article 70,70,Absence of payee’s payment account with the payment service,196,"Topic: RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Execution of payment transactions, Article: 70, Title: Absence of payee’s payment account with the payment service
provider
Where the payee does not have a payment account with the payment service provider, the payment service provider who receives the funds for the payee shall make the funds available to the payee within the time limit laid down in Article 69(1)."
197,RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Execution of payment transactions,Article 71,71,Cash placed on a payment account,197,"Topic: RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Execution of payment transactions, Article: 71, Title: Cash placed on a payment account
Where a consumer places cash on a payment account with that payment service provider in the currency of that payment account, the payment service provider shall ensure that the amount is made available and value dated immediately after receipt of the funds. Where the payment service user is not a consumer, the amount shall be made available and value dated at the latest on the following business day after receipt of the funds."
198,RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Execution of payment transactions,Article 72,72,National payment transactions,198,"Topic: RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Execution of payment transactions, Article: 72, Title: National payment transactions
For national payment transactions, Member States may provide for shorter maximum execution times than those provided for in this Section."
199,RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Execution of payment transactions,Article 73,73,Value date and availability of funds,199,"Topic: RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Execution of payment transactions, Article: 73, Title: Value date and availability of funds
1.	The credit value date for the payee’s payment account shall be no later than the business day on which the amount of the payment transaction is credited to the payee’s payment service provider’s account.
2.	The payment service provider of the payee shall ensure that the amount of the payment transaction is at the payee’s disposal immediately after that amount is credited to the payee’s payment service provider’s account where, on the part of the payee’s payment service provider, there is either of the following:
(a)	no currency conversion;
(b)	a currency conversion between the euro and a Member State currency or between two Member State currencies.
The obligation laid down in this paragraph shall also apply to payments within one payment service provider.
3.	The debit value date for the payer’s payment account shall be no earlier than the time at which the amount of the payment transaction is debited to that payment account."
200,RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Execution of payment transactions,Article 74,74,Incorrect unique identifiers,200,"Topic: RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Execution of payment transactions, Article: 74, Title: Incorrect unique identifiers
1.	If a payment transaction is executed in accordance with the unique identifier, the payment transaction shall be deemed to have been executed correctly with regard to the payee specified by the unique identifier.
2.	If the unique identifier provided by the payment service user is incorrect, the payment service provider shall not be liable under Article 75 for non-execution or defective execution of the payment transaction. 
3.	The payer’s payment service provider shall make reasonable efforts to recover the funds involved in the payment transaction. The payee’s payment service provider shall cooperate in those efforts also by communicating to the payer’s payment service provider all relevant information for the collection of funds."
